movement_id,production_order_id,material_id,material_name,movement_type,quantity,unit
SM0000096,PO000044,M010,Lubricating Oil,Consumption,95.4,Litre
SM0000097,PO000045,M004,Aluminium Alloy,Consumption,5456.0,Kg
SM0000098,PO000045,M011,Industrial Coolant,Consumption,170.5,Litre
SM0000099,PO000046,M003,Stainless Steel,Consumption,3320.0,Kg
SM0000100,PO000046,M012,Electronic Sensors,Consumption,830.0,Piece
SM0000101,PO000047,M002,Forged Steel,Consumption,3864.0,Kg
SM0000102,PO000047,M014,Hydraulic Fluid,Consumption,386.4,Litre
SM0000103,PO000048,M001,Cast Iron,Consumption,7252.0,Kg
SM0000104,PO000048,M015,Protective Coating,Consumption,155.4,Litre
SM0000105,PO000049,M001,Cast Iron,Consumption,18630.0,Kg
SM0000106,PO000049,M010,Lubricating Oil,Consumption,165.6,Litre
SM0000107,PO000049,M011,Industrial Coolant,Consumption,331.2,Litre
SM0000108,PO000050,M002,Forged Steel,Consumption,8162.0,Kg
SM0000109,PO000050,M010,Lubricating Oil,Consumption,111.3,Litre
SM0000110,PO000051,M004,Aluminium Alloy,Consumption,5504.0,Kg
SM0000111,PO000051,M011,Industrial Coolant,Consumption,172.0,Litre
SM0000112,PO000052,M003,Stainless Steel,Consumption,3936.0,Kg
SM0000113,PO000052,M012,Electronic Sensors,Consumption,984.0,Piece
SM0000114,PO000053,M002,Forged Steel,Consumption,3732.0,Kg
SM0000115,PO000053,M014,Hydraulic Fluid,Consumption,373.2,Litre
SM0000116,PO000054,M001,Cast Iron,Consumption,7364.0,Kg
SM0000117,PO000054,M015,Protective Coating,Consumption,157.8,Litre
SM0000118,PO000055,M001,Cast Iron,Consumption,16020.0,Kg
SM0000119,PO000055,M010,Lubricating Oil,Consumption,142.4,Litre
SM0000120,PO000055,M011,Industrial Coolant,Consumption,284.8,Litre
SM0000121,PO000056,M002,Forged Steel,Consumption,7348.0,Kg
SM0000122,PO000056,M010,Lubricating Oil,Consumption,100.2,Litre
SM0000123,PO000057,M004,Aluminium Alloy,Consumption,6288.0,Kg
SM0000124,PO000057,M011,Industrial Coolant,Consumption,196.5,Litre
SM0000125,PO000058,M003,Stainless Steel,Consumption,3472.0,Kg
SM0000126,PO000058,M012,Electronic Sensors,Consumption,868.0,Piece
SM0000127,PO000059,M002,Forged Steel,Consumption,3504.0,Kg
SM0000128,PO000059,M014,Hydraulic Fluid,Consumption,350.4,Litre
SM0000129,PO000060,M001,Cast Iron,Consumption,7868.0,Kg
SM0000130,PO000060,M015,Protective Coating,Consumption,168.6,Litre
SM0000131,PO000061,M001,Cast Iron,Consumption,18990.0,Kg
SM0000132,PO000061,M010,Lubricating Oil,Consumption,168.8,Litre
SM0000133,PO000061,M011,Industrial Coolant,Consumption,337.6,Litre
SM0000134,PO000062,M002,Forged Steel,Consumption,7480.0,Kg
SM0000135,PO000062,M010,Lubricating Oil,Consumption,102.0,Litre
SM0000136,PO000063,M004,Aluminium Alloy,Consumption,5488.0,Kg
SM0000137,PO000063,M011,Industrial Coolant,Consumption,171.5,Litre
SM0000138,PO000064,M003,Stainless Steel,Consumption,3400.0,Kg
SM0000139,PO000064,M012,Electronic Sensors,Consumption,850.0,Piece
SM0000140,PO000065,M002,Forged Steel,Consumption,3336.0,Kg
SM0000141,PO000065,M014,Hydraulic Fluid,Consumption,333.6,Litre
SM0000142,PO000066,M001,Cast Iron,Consumption,7476.0,Kg
SM0000143,PO000066,M015,Protective Coating,Consumption,160.2,Litre
SM0000144,PO000067,M001,Cast Iron,Consumption,16650.0,Kg
SM0000145,PO000067,M010,Lubricating Oil,Consumption,148.0,Litre
SM0000146,PO000067,M011,Industrial Coolant,Consumption,296.0,Litre
SM0000147,PO000068,M002,Forged Steel,Consumption,7920.0,Kg
SM0000148,PO000068,M010,Lubricating Oil,Consumption,108.0,Litre
SM0000149,PO000069,M004,Aluminium Alloy,Consumption,5808.0,Kg
SM0000150,PO000069,M011,Industrial Coolant,Consumption,181.5,Litre
SM0000151,PO000070,M003,Stainless Steel,Consumption,3600.0,Kg
SM0000152,PO000070,M012,Electronic Sensors,Consumption,900.0,Piece
SM0000153,PO000071,M002,Forged Steel,Consumption,3504.0,Kg
SM0000154,PO000071,M014,Hydraulic Fluid,Consumption,350.4,Litre
SM0000155,PO000072,M001,Cast Iron,Consumption,7308.0,Kg
SM0000156,PO000072,M015,Protective Coating,Consumption,156.6,Litre
SM0000157,PO000073,M001,Cast Iron,Consumption,18000.0,Kg
SM0000158,PO000073,M010,Lubricating Oil,Consumption,160.0,Litre
SM0000159,PO000073,M011,Industrial Coolant,Consumption,320.0,Litre
SM0000160,PO000074,M002,Forged Steel,Consumption,7854.0,Kg
SM0000161,PO000074,M010,Lubricating Oil,Consumption,107.1,Litre
SM0000162,PO000075,M004,Aluminium Alloy,Consumption,5728.0,Kg
SM0000163,PO000075,M011,Industrial Coolant,Consumption,179.0,Litre
SM0000164,PO000076,M003,Stainless Steel,Consumption,3184.0,Kg
SM0000165,PO000076,M012,Electronic Sensors,Consumption,796.0,Piece
SM0000166,PO000077,M002,Forged Steel,Consumption,3576.0,Kg
SM0000167,PO000077,M014,Hydraulic Fluid,Consumption,357.6,Litre
SM0000168,PO000078,M001,Cast Iron,Consumption,6608.0,Kg
SM0000169,PO000078,M015,Protective Coating,Consumption,141.6,Litre
SM0000170,PO000079,M001,Cast Iron,Consumption,19485.0,Kg
SM0000171,PO000079,M010,Lubricating Oil,Consumption,173.2,Litre
SM0000172,PO000079,M011,Industrial Coolant,Consumption,346.4,Litre
SM0000173,PO000080,M002,Forged Steel,Consumption,6776.0,Kg
SM0000174,PO000080,M010,Lubricating Oil,Consumption,92.4,Litre
SM0000175,PO000081,M004,Aluminium Alloy,Consumption,5440.0,Kg
SM0000176,PO000081,M011,Industrial Coolant,Consumption,170.0,Litre
SM0000177,PO000082,M003,Stainless Steel,Consumption,3448.0,Kg
SM0000178,PO000082,M012,Electronic Sensors,Consumption,862.0,Piece
SM0000179,PO000083,M002,Forged Steel,Consumption,3540.0,Kg
SM0000180,PO000083,M014,Hydraulic Fluid,Consumption,354.0,Litre
SM0000181,PO000084,M001,Cast Iron,Consumption,7896.0,Kg
SM0000182,PO000084,M015,Protective Coating,Consumption,169.2,Litre
SM0000183,PO000085,M001,Cast Iron,Consumption,18630.0,Kg
SM0000184,PO000085,M010,Lubricating Oil,Consumption,165.6,Litre
SM0000185,PO000085,M011,Industrial Coolant,Consumption,331.2,Litre
SM0000186,PO000086,M002,Forged Steel,Consumption,7766.0,Kg
SM0000187,PO000086,M010,Lubricating Oil,Consumption,105.9,Litre
SM0000188,PO000087,M004,Aluminium Alloy,Consumption,5472.0,Kg
SM0000189,PO000087,M011,Industrial Coolant,Consumption,171.0,Litre
SM0000190,PO000088,M003,Stainless Steel,Consumption,3528.0,Kg
SM0000191,PO000088,M012,Electronic Sensors,Consumption,882.0,Piece
SM0000192,PO000089,M002,Forged Steel,Consumption,3912.0,Kg
SM0000193,PO000089,M014,Hydraulic Fluid,Consumption,391.2,Litre
SM0000194,PO000090,M001,Cast Iron,Consumption,7756.0,Kg
SM0000195,PO000090,M015,Protective Coating,Consumption,166.2,Litre
SM0000196,PO000091,M001,Cast Iron,Consumption,16425.0,Kg
SM0000197,PO000091,M010,Lubricating Oil,Consumption,146.0,Litre
SM0000198,PO000091,M011,Industrial Coolant,Consumption,292.0,Litre
SM0000199,PO000092,M002,Forged Steel,Consumption,7524.0,Kg
SM0000200,PO000092,M010,Lubricating Oil,Consumption,102.6,Litre
SM0000201,PO000093,M004,Aluminium Alloy,Consumption,5648.0,Kg
SM0000202,PO000093,M011,Industrial Coolant,Consumption,176.5,Litre
SM0000203,PO000094,M003,Stainless Steel,Consumption,3616.0,Kg
SM0000204,PO000094,M012,Electronic Sensors,Consumption,904.0,Piece
SM0000205,PO000095,M002,Forged Steel,Consumption,3492.0,Kg
SM0000206,PO000095,M014,Hydraulic Fluid,Consumption,349.2,Litre
SM0000207,PO000096,M001,Cast Iron,Consumption,6972.0,Kg
SM0000208,PO000096,M015,Protective Coating,Consumption,149.4,Litre
SM0000209,PO000097,M001,Cast Iron,Consumption,18990.0,Kg
SM0000210,PO000097,M010,Lubricating Oil,Consumption,168.8,Litre
SM0000211,PO000097,M011,Industrial Coolant,Consumption,337.6,Litre
SM0000212,PO000098,M002,Forged Steel,Consumption,8096.0,Kg
SM0000213,PO000098,M010,Lubricating Oil,Consumption,110.4,Litre
SM0000214,PO000099,M004,Aluminium Alloy,Consumption,5744.0,Kg
SM0000215,PO000099,M011,Industrial Coolant,Consumption,179.5,Litre
SM0000216,PO000100,M003,Stainless Steel,Consumption,3656.0,Kg
SM0000217,PO000100,M012,Electronic Sensors,Consumption,914.0,Piece
SM0000218,PO000101,M002,Forged Steel,Consumption,3816.0,Kg
SM0000219,PO000101,M014,Hydraulic Fluid,Consumption,381.6,Litre
SM0000220,PO000102,M001,Cast Iron,Consumption,7252.0,Kg
SM0000221,PO000102,M015,Protective Coating,Consumption,155.4,Litre
SM0000222,PO000103,M001,Cast Iron,Consumption,17460.0,Kg
SM0000223,PO000103,M010,Lubricating Oil,Consumption,155.2,Litre
SM0000224,PO000103,M011,Industrial Coolant,Consumption,310.4,Litre
SM0000225,PO000104,M002,Forged Steel,Consumption,7766.0,Kg
SM0000226,PO000104,M010,Lubricating Oil,Consumption,105.9,Litre
SM0000227,PO000105,M004,Aluminium Alloy,Consumption,6384.0,Kg
SM0000228,PO000105,M011,Industrial Coolant,Consumption,199.5,Litre
SM0000229,PO000106,M003,Stainless Steel,Consumption,3672.0,Kg
SM0000230,PO000106,M012,Electronic Sensors,Consumption,918.0,Piece
SM0000231,PO000107,M002,Forged Steel,Consumption,3660.0,Kg
SM0000232,PO000107,M014,Hydraulic Fluid,Consumption,366.0,Litre
SM0000233,PO000108,M001,Cast Iron,Consumption,7644.0,Kg
SM0000234,PO000108,M015,Protective Coating,Consumption,163.8,Litre
SM0000235,PO000109,M001,Cast Iron,Consumption,16290.0,Kg
SM0000236,PO000109,M010,Lubricating Oil,Consumption,144.8,Litre
SM0000237,PO000109,M011,Industrial Coolant,Consumption,289.6,Litre
SM0000238,PO000110,M002,Forged Steel,Consumption,6776.0,Kg
SM0000239,PO000110,M010,Lubricating Oil,Consumption,92.4,Litre
SM0000240,PO000111,M004,Aluminium Alloy,Consumption,6224.0,Kg
SM0000241,PO000111,M011,Industrial Coolant,Consumption,194.5,Litre
SM0000242,PO000112,M003,Stainless Steel,Consumption,3320.0,Kg
SM0000243,PO000112,M012,Electronic Sensors,Consumption,830.0,Piece
SM0000244,PO000113,M002,Forged Steel,Consumption,3348.0,Kg
SM0000245,PO000113,M014,Hydraulic Fluid,Consumption,334.8,Litre
SM0000246,PO000114,M001,Cast Iron,Consumption,7616.0,Kg
SM0000247,PO000114,M015,Protective Coating,Consumption,163.2,Litre
SM0000248,PO000115,M001,Cast Iron,Consumption,17280.0,Kg
SM0000249,PO000115,M010,Lubricating Oil,Consumption,153.6,Litre
SM0000250,PO000115,M011,Industrial Coolant,Consumption,307.2,Litre
SM0000251,PO000116,M002,Forged Steel,Consumption,8162.0,Kg
SM0000252,PO000116,M010,Lubricating Oil,Consumption,111.3,Litre
SM0000253,PO000117,M004,Aluminium Alloy,Consumption,6496.0,Kg
SM0000254,PO000117,M011,Industrial Coolant,Consumption,203.0,Litre
SM0000255,PO000118,M003,Stainless Steel,Consumption,3256.0,Kg
SM0000256,PO000118,M012,Electronic Sensors,Consumption,814.0,Piece
SM0000257,PO000119,M002,Forged Steel,Consumption,4008.0,Kg
SM0000258,PO000119,M014,Hydraulic Fluid,Consumption,400.8,Litre
SM0000259,PO000120,M001,Cast Iron,Consumption,6972.0,Kg
SM0000260,PO000120,M015,Protective Coating,Consumption,149.4,Litre
SM0000261,PO000121,M001,Cast Iron,Consumption,17730.0,Kg
SM0000262,PO000121,M010,Lubricating Oil,Consumption,157.6,Litre
SM0000263,PO000121,M011,Industrial Coolant,Consumption,315.2,Litre
SM0000264,PO000122,M002,Forged Steel,Consumption,7700.0,Kg
SM0000265,PO000122,M010,Lubricating Oil,Consumption,105.0,Litre
SM0000266,PO000123,M004,Aluminium Alloy,Consumption,6544.0,Kg
SM0000267,PO000123,M011,Industrial Coolant,Consumption,204.5,Litre
SM0000268,PO000124,M003,Stainless Steel,Consumption,3496.0,Kg
SM0000269,PO000124,M012,Electronic Sensors,Consumption,874.0,Piece
SM0000270,PO000125,M002,Forged Steel,Consumption,3912.0,Kg
SM0000271,PO000125,M014,Hydraulic Fluid,Consumption,391.2,Litre
SM0000272,PO000126,M001,Cast Iron,Consumption,6776.0,Kg
SM0000273,PO000126,M015,Protective Coating,Consumption,145.2,Litre
SM0000274,PO000127,M001,Cast Iron,Consumption,17235.0,Kg
SM0000275,PO000127,M010,Lubricating Oil,Consumption,153.2,Litre
SM0000276,PO000127,M011,Industrial Coolant,Consumption,306.4,Litre
SM0000277,PO000128,M002,Forged Steel,Consumption,6952.0,Kg
SM0000278,PO000128,M010,Lubricating Oil,Consumption,94.8,Litre
SM0000279,PO000129,M004,Aluminium Alloy,Consumption,5760.0,Kg
SM0000280,PO000129,M011,Industrial Coolant,Consumption,180.0,Litre
SM0000281,PO000130,M003,Stainless Steel,Consumption,3328.0,Kg
SM0000282,PO000130,M012,Electronic Sensors,Consumption,832.0,Piece
SM0000283,PO000131,M002,Forged Steel,Consumption,3660.0,Kg
SM0000284,PO000131,M014,Hydraulic Fluid,Consumption,366.0,Litre
SM0000285,PO000132,M001,Cast Iron,Consumption,7532.0,Kg
SM0000286,PO000132,M015,Protective Coating,Consumption,161.4,Litre
SM0000287,PO000133,M001,Cast Iron,Consumption,19125.0,Kg
SM0000288,PO000133,M010,Lubricating Oil,Consumption,170.0,Litre
SM0000289,PO000133,M011,Industrial Coolant,Consumption,340.0,Litre
SM0000290,PO000134,M002,Forged Steel,Consumption,6908.0,Kg
SM0000291,PO000134,M010,Lubricating Oil,Consumption,94.2,Litre
SM0000292,PO000135,M004,Aluminium Alloy,Consumption,5488.0,Kg
SM0000293,PO000135,M011,Industrial Coolant,Consumption,171.5,Litre
SM0000294,PO000136,M003,Stainless Steel,Consumption,3720.0,Kg
SM0000295,PO000136,M012,Electronic Sensors,Consumption,930.0,Piece
SM0000296,PO000137,M002,Forged Steel,Consumption,3648.0,Kg
SM0000297,PO000137,M014,Hydraulic Fluid,Consumption,364.8,Litre
SM0000298,PO000138,M001,Cast Iron,Consumption,7840.0,Kg
SM0000299,PO000138,M015,Protective Coating,Consumption,168.0,Litre
SM0000300,PO000139,M001,Cast Iron,Consumption,19845.0,Kg
SM0000301,PO000139,M010,Lubricating Oil,Consumption,176.4,Litre
SM0000302,PO000139,M011,Industrial Coolant,Consumption,352.8,Litre
SM0000303,PO000140,M002,Forged Steel,Consumption,8008.0,Kg
SM0000304,PO000140,M010,Lubricating Oil,Consumption,109.2,Litre
SM0000305,PO000141,M004,Aluminium Alloy,Consumption,5360.0,Kg
SM0000306,PO000141,M011,Industrial Coolant,Consumption,167.5,Litre
SM0000307,PO000142,M003,Stainless Steel,Consumption,3600.0,Kg
SM0000308,PO000142,M012,Electronic Sensors,Consumption,900.0,Piece
SM0000309,PO000143,M002,Forged Steel,Consumption,3216.0,Kg
SM0000310,PO000143,M014,Hydraulic Fluid,Consumption,321.6,Litre
SM0000311,PO000144,M001,Cast Iron,Consumption,7728.0,Kg
SM0000312,PO000144,M015,Protective Coating,Consumption,165.6,Litre
SM0000313,PO000145,M001,Cast Iron,Consumption,18450.0,Kg
SM0000314,PO000145,M010,Lubricating Oil,Consumption,164.0,Litre
SM0000315,PO000145,M011,Industrial Coolant,Consumption,328.0,Litre
SM0000316,PO000146,M002,Forged Steel,Consumption,7810.0,Kg
SM0000317,PO000146,M010,Lubricating Oil,Consumption,106.5,Litre
SM0000318,PO000147,M004,Aluminium Alloy,Consumption,5488.0,Kg
SM0000319,PO000147,M011,Industrial Coolant,Consumption,171.5,Litre
SM0000320,PO000148,M003,Stainless Steel,Consumption,3312.0,Kg
SM0000321,PO000148,M012,Electronic Sensors,Consumption,828.0,Piece
SM0000322,PO000149,M002,Forged Steel,Consumption,3780.0,Kg
SM0000323,PO000149,M014,Hydraulic Fluid,Consumption,378.0,Litre
SM0000324,PO000150,M001,Cast Iron,Consumption,6860.0,Kg
SM0000325,PO000150,M015,Protective Coating,Consumption,147.0,Litre
SM0000326,PO000151,M001,Cast Iron,Consumption,16155.0,Kg
SM0000327,PO000151,M010,Lubricating Oil,Consumption,143.6,Litre
SM0000328,PO000151,M011,Industrial Coolant,Consumption,287.2,Litre
SM0000329,PO000152,M002,Forged Steel,Consumption,6710.0,Kg
SM0000330,PO000152,M010,Lubricating Oil,Consumption,91.5,Litre
SM0000331,PO000153,M004,Aluminium Alloy,Consumption,5792.0,Kg
SM0000332,PO000153,M011,Industrial Coolant,Consumption,181.0,Litre
SM0000333,PO000154,M003,Stainless Steel,Consumption,3528.0,Kg
SM0000334,PO000154,M012,Electronic Sensors,Consumption,882.0,Piece
SM0000335,PO000155,M002,Forged Steel,Consumption,3456.0,Kg
SM0000336,PO000155,M014,Hydraulic Fluid,Consumption,345.6,Litre
SM0000337,PO000156,M001,Cast Iron,Consumption,7952.0,Kg
SM0000338,PO000156,M015,Protective Coating,Consumption,170.4,Litre
SM0000339,PO000157,M001,Cast Iron,Consumption,16065.0,Kg
SM0000340,PO000157,M010,Lubricating Oil,Consumption,142.8,Litre
SM0000341,PO000157,M011,Industrial Coolant,Consumption,285.6,Litre
SM0000342,PO000158,M002,Forged Steel,Consumption,7524.0,Kg
SM0000343,PO000158,M010,Lubricating Oil,Consumption,102.6,Litre
SM0000344,PO000159,M004,Aluminium Alloy,Consumption,5760.0,Kg
SM0000345,PO000159,M011,Industrial Coolant,Consumption,180.0,Litre
SM0000346,PO000160,M003,Stainless Steel,Consumption,3968.0,Kg
SM0000347,PO000160,M012,Electronic Sensors,Consumption,992.0,Piece
SM0000348,PO000161,M002,Forged Steel,Consumption,3804.0,Kg
SM0000349,PO000161,M014,Hydraulic Fluid,Consumption,380.4,Litre
SM0000350,PO000162,M001,Cast Iron,Consumption,6944.0,Kg
SM0000351,PO000162,M015,Protective Coating,Consumption,148.8,Litre
SM0000352,PO000163,M001,Cast Iron,Consumption,17955.0,Kg
SM0000353,PO000163,M010,Lubricating Oil,Consumption,159.6,Litre
SM0000354,PO000163,M011,Industrial Coolant,Consumption,319.2,Litre
SM0000355,PO000164,M002,Forged Steel,Consumption,7238.0,Kg
SM0000356,PO000164,M010,Lubricating Oil,Consumption,98.7,Litre
SM0000357,PO000165,M004,Aluminium Alloy,Consumption,5680.0,Kg
SM0000358,PO000165,M011,Industrial Coolant,Consumption,177.5,Litre
SM0000359,PO000166,M003,Stainless Steel,Consumption,3448.0,Kg
SM0000360,PO000166,M012,Electronic Sensors,Consumption,862.0,Piece
SM0000361,PO000167,M002,Forged Steel,Consumption,3744.0,Kg
SM0000362,PO000167,M014,Hydraulic Fluid,Consumption,374.4,Litre
SM0000363,PO000168,M001,Cast Iron,Consumption,7308.0,Kg
SM0000364,PO000168,M015,Protective Coating,Consumption,156.6,Litre
SM0000365,PO000169,M001,Cast Iron,Consumption,17865.0,Kg
SM0000366,PO000169,M010,Lubricating Oil,Consumption,158.8,Litre
SM0000367,PO000169,M011,Industrial Coolant,Consumption,317.6,Litre
SM0000368,PO000170,M002,Forged Steel,Consumption,7348.0,Kg
SM0000369,PO000170,M010,Lubricating Oil,Consumption,100.2,Litre
SM0000370,PO000171,M004,Aluminium Alloy,Consumption,5776.0,Kg
SM0000371,PO000171,M011,Industrial Coolant,Consumption,180.5,Litre
SM0000372,PO000172,M003,Stainless Steel,Consumption,3776.0,Kg
SM0000373,PO000172,M012,Electronic Sensors,Consumption,944.0,Piece
SM0000374,PO000173,M002,Forged Steel,Consumption,3684.0,Kg
SM0000375,PO000173,M014,Hydraulic Fluid,Consumption,368.4,Litre
SM0000376,PO000174,M001,Cast Iron,Consumption,7504.0,Kg
SM0000377,PO000174,M015,Protective Coating,Consumption,160.8,Litre
SM0000378,PO000175,M001,Cast Iron,Consumption,19215.0,Kg
SM0000379,PO000175,M010,Lubricating Oil,Consumption,170.8,Litre
SM0000380,PO000175,M011,Industrial Coolant,Consumption,341.6,Litre
SM0000381,PO000176,M002,Forged Steel,Consumption,6710.0,Kg
SM0000382,PO000176,M010,Lubricating Oil,Consumption,91.5,Litre
SM0000383,PO000177,M004,Aluminium Alloy,Consumption,5296.0,Kg
SM0000384,PO000177,M011,Industrial Coolant,Consumption,165.5,Litre
SM0000385,PO000178,M003,Stainless Steel,Consumption,3864.0,Kg
SM0000386,PO000178,M012,Electronic Sensors,Consumption,966.0,Piece
SM0000387,PO000179,M002,Forged Steel,Consumption,3528.0,Kg
SM0000388,PO000179,M014,Hydraulic Fluid,Consumption,352.8,Litre
