machine_id,day,runtime_minutes,utilization_percent,health_score,temperature_c,vibration_mm_s,power_consumption_kw,failure_event
M018,15,521,72.36,92.19,57.0,1.17,5.36,0
M001,16,513,71.25,89.24,60.7,1.67,20.56,0
M002,16,587,81.53,94.57,56.4,1.73,14.48,0
M003,16,545,75.69,95.88,64.2,1.6,3.86,0
M004,16,657,91.25,95.29,51.7,1.2,14.4,0
M005,16,549,76.25,93.5,48.2,1.58,12.17,0
M006,16,718,99.72,92.38,46.5,1.06,5.49,0
M007,16,689,95.69,97.29,61.7,1.18,18.66,0
M008,16,685,95.14,90.24,47.8,2.02,8.87,0
M009,16,447,62.08,93.59,56.8,2.08,5.57,0
M010,16,685,95.14,92.73,59.6,1.49,7.26,0
M011,16,602,83.61,89.35,62.5,1.37,23.73,0
M012,16,523,72.64,87.33,47.3,1.18,5.27,0
M013,16,655,90.97,87.94,60.4,1.06,36.15,1
M014,16,496,68.89,94.63,60.7,2.2,5.06,0
M015,16,561,77.92,94.45,49.1,1.14,4.47,0
M016,16,527,73.19,94.94,53.6,1.68,25.68,0
M017,16,500,69.44,88.59,55.0,1.84,13.61,0
M018,16,465,64.58,88.72,46.5,1.05,3.67,0
M001,17,595,82.64,94.39,49.7,1.97,18.82,0
M002,17,712,98.89,89.53,49.3,1.11,18.32,0
M003,17,686,95.28,88.34,51.5,1.22,5.03,0
M004,17,491,68.19,97.29,48.4,1.65,13.17,0
M005,17,519,72.08,95.13,62.1,2.24,12.9,0
M006,17,529,73.47,95.18,57.6,1.38,5.23,0
M007,17,652,90.56,88.78,52.1,1.44,14.15,0
M008,17,528,73.33,96.79,48.5,0.99,9.22,0
M009,17,483,67.08,91.52,46.9,1.19,3.73,0
M010,17,463,64.31,91.89,48.0,0.87,6.62,0
M011,17,595,82.64,90.61,57.9,1.13,21.14,0
M012,17,436,60.56,90.3,53.7,1.77,5.52,0
M013,17,608,84.44,91.84,57.7,1.72,28.87,0
M014,17,508,70.56,97.89,61.8,2.01,4.81,0
M015,17,450,62.5,95.64,46.5,1.54,5.26,0
M016,17,471,65.42,92.42,53.7,2.18,18.14,0
M017,17,607,84.31,92.47,65.3,0.93,16.77,0
M018,17,441,61.25,92.07,52.6,0.96,5.31,0
M001,18,691,95.97,97.81,47.7,1.14,13.33,0
M002,18,598,83.06,93.14,54.0,1.36,13.43,0
M003,18,422,58.61,90.69,57.5,2.02,5.3,0
M004,18,550,76.39,96.3,52.4,1.44,12.32,0
M005,18,663,92.08,87.78,48.1,1.23,12.29,1
M006,18,454,63.06,96.32,47.9,1.71,3.64,0
M007,18,719,99.86,89.75,57.1,1.68,16.95,0
M008,18,713,99.03,87.49,61.0,2.22,9.76,0
M009,18,572,79.44,94.36,61.4,1.61,4.63,0
M010,18,453,62.92,89.44,53.4,1.86,5.62,0
M011,18,615,85.42,98.03,55.4,1.6,17.17,0
M012,18,585,81.25,92.29,57.3,1.84,4.79,0
M013,18,648,90.0,96.44,63.6,2.0,37.38,0
M014,18,529,73.47,92.44,48.8,2.02,4.95,0
M015,18,434,60.28,94.15,63.7,1.27,5.64,0
M016,18,609,84.58,94.69,63.6,1.68,22.71,0
M017,18,477,66.25,88.26,55.8,0.94,15.43,0
M018,18,435,60.42,96.07,63.4,2.27,3.89,0
M001,19,651,90.42,97.45,50.8,1.63,20.69,0
M002,19,425,59.03,93.48,53.9,0.91,18.33,0
M003,19,512,71.11,96.61,47.7,1.0,3.78,0
M004,19,675,93.75,94.63,54.5,1.99,11.75,0
M005,19,620,86.11,93.32,58.2,2.17,12.09,0
M006,19,480,66.67,89.93,52.4,1.97,5.49,0
M007,19,510,70.83,92.52,50.4,2.01,14.48,0
M008,19,655,90.97,93.44,49.5,1.81,10.92,0
M009,19,564,78.33,96.53,64.4,1.66,4.16,0
M010,19,497,69.03,88.29,49.0,1.61,5.8,0
M011,19,628,87.22,90.27,65.2,0.93,17.33,0
M012,19,676,93.89,90.07,53.3,1.54,5.67,0
M013,19,714,99.17,88.32,47.6,1.99,25.58,0
M014,19,547,75.97,91.05,66.0,1.75,6.8,0
M015,19,529,73.47,92.56,51.0,0.84,4.27,0
M016,19,625,86.81,90.72,63.6,0.87,21.17,0
M017,19,483,67.08,94.09,59.4,1.83,19.27,0
M018,19,452,62.78,92.29,47.0,2.18,5.07,0
M001,20,713,99.03,95.43,60.7,1.7,16.76,0
M002,20,469,65.14,90.26,47.6,1.5,15.71,0
M003,20,621,86.25,93.83,56.8,1.66,4.12,0
M004,20,622,86.39,94.86,57.3,1.31,16.26,0
M005,20,553,76.81,97.8,48.5,0.9,9.95,0
M006,20,664,92.22,98.34,46.3,2.22,4.6,0
M007,20,451,62.64,89.67,53.6,1.94,13.74,0
M008,20,484,67.22,88.28,52.9,1.35,7.3,0
M009,20,713,99.03,90.78,49.1,1.63,4.39,0
M010,20,560,77.78,95.72,55.3,1.65,7.01,0
M011,20,427,59.31,95.97,55.5,1.36,19.7,0
M012,20,650,90.28,95.97,61.6,1.29,3.66,0
M013,20,609,84.58,90.13,58.7,1.37,28.71,0
M014,20,475,65.97,91.7,47.0,1.7,6.69,0
M015,20,515,71.53,88.76,55.2,1.16,4.6,0
M016,20,579,80.42,91.47,47.5,1.72,25.45,0
M017,20,610,84.72,97.02,61.8,1.99,20.85,1
M018,20,694,96.39,87.41,60.4,1.59,3.87,0
M001,21,508,70.56,93.29,64.1,1.44,15.3,0
M002,21,629,87.36,95.67,48.3,1.77,14.47,0
M003,21,548,76.11,89.53,52.8,1.52,4.41,0
M004,21,444,61.67,92.37,65.9,1.99,11.9,0
M005,21,705,97.92,95.02,62.2,1.3,10.41,1
M006,21,639,88.75,89.89,60.9,1.28,5.38,0
M007,21,491,68.19,97.82,61.3,1.87,17.16,0
M008,21,463,64.31,91.88,59.2,1.4,10.05,0
M009,21,506,70.28,87.28,48.8,1.64,4.6,0
M010,21,697,96.81,87.62,50.3,1.72,5.72,0
M011,21,436,60.56,91.11,57.0,2.23,17.33,0
M012,21,589,81.81,96.26,63.3,0.94,5.15,0
M013,21,622,86.39,92.04,54.8,1.55,27.9,0
M014,21,604,83.89,90.12,56.3,2.0,4.98,0
M015,21,531,73.75,91.95,59.2,1.05,5.12,0
M016,21,483,67.08,88.84,63.5,1.6,26.44,0
M017,21,637,88.47,98.05,61.2,2.02,15.56,0
M018,21,666,92.5,93.81,54.4,1.52,4.39,1
M001,22,465,64.58,96.28,59.7,1.7,14.22,0
M002,22,705,97.92,94.23,56.8,1.08,20.71,0
M003,22,701,97.36,92.73,57.6,2.09,4.69,0
M004,22,445,61.81,94.94,46.3,1.13,11.97,0
M005,22,421,58.47,87.2,48.5,1.42,11.67,0
M006,22,705,97.92,97.14,57.1,1.84,4.0,0
M007,22,467,64.86,90.03,64.5,1.22,16.49,0
M008,22,681,94.58,95.26,61.2,1.31,7.78,0
M009,22,629,87.36,96.62,46.2,2.09,5.22,0
M010,22,626,86.94,97.59,52.7,2.0,5.86,0
M011,22,589,81.81,87.23,59.1,1.56,15.81,0
M012,22,621,86.25,97.38,63.1,0.95,4.07,0
M013,22,648,90.0,93.4,57.9,1.8,30.57,0
M014,22,427,59.31,91.15,49.9,1.15,5.86,0
M015,22,709,98.47,94.24,56.4,1.77,4.77,0
M016,22,709,98.47,88.44,61.0,1.86,18.32,0
M017,22,639,88.75,89.18,53.6,0.99,15.02,0
M018,22,464,64.44,88.34,62.9,1.94,4.81,0
M001,23,515,71.53,91.45,61.6,1.05,17.6,0
M002,23,457,63.47,95.85,48.2,1.67,15.44,0
M003,23,490,68.06,92.58,57.0,1.09,4.95,0
M004,23,467,64.86,93.74,49.0,2.2,16.74,0
M005,23,720,100.0,88.27,63.8,1.95,10.92,0
M006,23,473,65.69,96.29,62.4,1.3,5.24,0
M007,23,715,99.31,88.41,59.5,1.45,17.14,1
M008,23,624,86.67,89.38,46.6,1.34,10.67,0
M009,23,660,91.67,98.03,64.0,2.19,4.19,1
M010,23,668,92.78,92.5,59.9,1.99,5.47,0
M011,23,634,88.06,87.58,60.8,1.71,15.58,0
M012,23,707,98.19,93.98,52.8,0.92,3.97,0
M013,23,475,65.97,97.79,60.3,1.32,29.08,0
M014,23,645,89.58,87.65,47.2,1.1,5.68,0
M015,23,667,92.64,89.79,56.2,2.21,4.78,0
M016,23,570,79.17,89.5,54.2,2.01,20.24,0
M017,23,596,82.78,88.75,54.4,2.26,20.59,0
M018,23,683,94.86,96.94,56.3,1.15,5.22,0
M001,24,438,60.83,90.27,57.8,1.39,14.61,0
M002,24,571,79.31,89.13,51.3,1.98,19.54,0
M003,24,497,69.03,92.05,54.9,2.17,4.54,0
M004,24,532,73.89,97.57,56.0,2.2,16.9,0
M005,24,536,74.44,90.91,52.3,2.23,11.84,0
M006,24,447,62.08,92.02,53.2,1.21,4.34,0
M007,24,623,86.53,88.78,47.1,1.84,18.32,0
M008,24,441,61.25,92.35,58.3,1.94,7.62,0
M009,24,471,65.42,92.16,59.2,1.45,5.29,0
M010,24,647,89.86,94.93,46.6,1.83,5.84,0
M011,24,557,77.36,95.09,47.1,1.07,18.83,0
M012,24,709,98.47,90.65,61.3,0.96,3.71,0
M013,24,592,82.22,89.27,65.4,1.2,33.61,0
M014,24,593,82.36,87.6,61.4,2.23,7.16,0
M015,24,701,97.36,87.74,59.2,1.96,5.0,0
M016,24,444,61.67,87.27,65.6,2.25,18.13,0
M017,24,716,99.44,88.56,49.7,1.0,17.91,0
M018,24,565,78.47,87.75,65.5,1.83,4.31,0
M001,25,509,70.69,97.72,53.5,1.92,14.33,0
M002,25,456,63.33,87.48,45.6,1.64,17.6,0
M003,25,700,97.22,87.65,47.0,1.9,4.11,0
M004,25,556,77.22,94.99,50.2,2.1,12.73,0
M005,25,611,84.86,96.92,61.5,1.44,10.75,1
M006,25,502,69.72,93.73,53.2,0.95,5.49,0
M007,25,474,65.83,92.3,59.2,1.73,17.45,0
M008,25,533,74.03,90.13,46.0,1.03,10.96,0
M009,25,443,61.53,91.37,64.2,1.97,4.11,0
M010,25,479,66.53,88.1,64.2,1.15,6.7,0
M011,25,653,90.69,90.41,56.6,1.73,19.95,0
M012,25,507,70.42,93.49,47.4,1.44,4.1,0
M013,25,511,70.97,95.5,55.8,1.07,30.47,0
M014,25,432,60.0,94.99,62.3,2.11,5.43,0
M015,25,423,58.75,89.09,62.1,2.18,3.96,0
M016,25,688,95.56,95.67,59.7,2.2,22.55,0
M017,25,677,94.03,91.81,61.0,1.37,17.58,0
M018,25,660,91.67,88.73,60.4,1.43,5.22,0
M001,26,665,92.36,92.62,56.8,1.7,20.46,0
M002,26,717,99.58,92.56,64.0,1.59,18.26,0
M003,26,490,68.06,88.63,57.1,1.06,4.73,0
M004,26,537,74.58,88.11,52.1,0.92,14.93,0
M005,26,688,95.56,95.6,57.8,2.33,12.68,0
M006,26,426,59.17,88.29,59.8,2.23,5.39,0
M007,26,644,89.44,92.18,51.1,1.14,12.29,0
M008,26,486,67.5,92.61,53.3,2.13,11.33,0
M009,26,538,74.72,97.34,57.8,1.53,4.07,0
M010,26,431,59.86,93.75,62.8,1.05,5.01,0
M011,26,440,61.11,96.76,48.7,1.95,17.31,0
M012,26,697,96.81,96.41,57.7,1.39,4.03,0
M013,26,669,92.92,87.54,65.2,1.53,37.58,0
M014,26,440,61.11,91.05,56.1,2.14,5.81,0
M015,26,566,78.61,95.33,65.1,1.25,4.01,0
M016,26,516,71.67,94.84,57.6,1.35,19.99,0
M017,26,617,85.69,88.16,48.6,1.03,16.36,0
M018,26,595,82.64,97.31,48.0,1.38,4.68,0
M001,27,440,61.11,92.84,58.7,2.36,20.36,0
M002,27,542,75.28,94.57,57.3,1.92,14.9,0
M003,27,542,75.28,96.53,55.8,2.22,5.47,0
M004,27,606,84.17,93.06,62.7,1.22,12.32,0
M005,27,607,84.31,96.27,60.2,1.45,11.45,0
M006,27,708,98.33,94.39,60.5,2.0,5.68,0
M007,27,591,82.08,97.51,55.9,1.22,14.75,0
M008,27,677,94.03,90.9,48.1,1.57,8.4,1
M009,27,424,58.89,92.89,51.6,2.28,4.32,0
M010,27,493,68.47,90.13,62.5,1.69,7.19,0
