record_id,production_order_id,machine_id,operator_id,planned_quantity,actual_quantity,rejected_quantity,runtime_minutes,downtime_minutes,machine_health,efficiency_percent
PR000145,PO000145,M001,EMP000188,416,410,6,7516,28,84.54,82.84
PR000146,PO000146,M006,EMP000414,358,355,3,5381,11,91.08,88.05
PR000147,PO000147,M007,EMP000383,350,343,7,5629,29,83.99,82.45
PR000148,PO000148,M012,EMP000235,419,414,5,5036,8,94.07,93.64
PR000149,PO000149,M013,EMP000378,319,315,4,4487,21,88.32,86.81
PR000150,PO000150,M018,EMP000327,249,245,4,5002,22,84.98,84.79
PR000151,PO000151,M001,EMP000311,365,359,6,6596,26,83.57,79.57
PR000152,PO000152,M005,EMP000252,309,305,4,4657,22,84.62,82.2
PR000153,PO000153,M007,EMP000258,367,362,5,5890,18,87.28,83.43
PR000154,PO000154,M010,EMP000388,445,441,4,5342,2,98.7,93.74
PR000155,PO000155,M014,EMP000405,291,288,3,4100,26,82.62,78.3
PR000156,PO000156,M016,EMP000099,291,284,7,5835,15,87.29,83.05
PR000157,PO000157,M002,EMP000042,363,357,6,6557,23,87.67,87.15
PR000158,PO000158,M006,EMP000252,346,342,4,5196,6,94.67,90.88
PR000159,PO000159,M009,EMP000036,367,360,7,5891,19,85.57,84.14
PR000160,PO000160,M010,EMP000373,500,496,4,6008,8,95.14,93.78
PR000161,PO000161,M013,EMP000413,320,317,3,4511,31,83.95,81.15
PR000162,PO000162,M017,EMP000057,254,248,6,5094,14,91.22,89.86
PR000163,PO000163,M002,EMP000371,404,399,5,7279,7,95.67,94.81
PR000164,PO000164,M004,EMP000069,332,329,3,4984,4,97.17,96.92
PR000165,PO000165,M009,EMP000022,360,355,5,5763,3,97.36,95.44
PR000166,PO000166,M011,EMP000409,435,431,4,5240,20,88.66,84.2
PR000167,PO000167,M014,EMP000075,316,312,4,4433,9,93.73,91.95
PR000168,PO000168,M018,EMP000099,265,261,4,5326,26,85.37,81.32
PR000169,PO000169,M003,EMP000081,402,397,5,7240,4,97.69,94.85
PR000170,PO000170,M004,EMP000154,337,334,3,5062,7,95.64,95.15
PR000171,PO000171,M009,EMP000356,369,361,8,5916,12,92.96,90.61
PR000172,PO000172,M010,EMP000137,476,472,4,5741,29,84.44,83.15
PR000173,PO000173,M014,EMP000342,312,307,5,4396,28,85.12,83.47
PR000174,PO000174,M018,EMP000164,272,268,4,5459,19,87.52,87.19
PR000175,PO000175,M002,EMP000067,433,427,6,7812,18,90.14,88.73
PR000176,PO000176,M005,EMP000375,309,305,4,4648,13,91.77,89.74
PR000177,PO000177,M008,EMP000070,336,331,5,5402,26,83.82,83.47
PR000178,PO000178,M012,EMP000189,487,483,4,5860,16,89.84,88.65
PR000179,PO000179,M015,EMP000066,297,294,3,4182,24,84.7,84.37
PR000180,PO000180,M017,EMP000227,244,239,5,4889,9,93.8,88.9
PR000181,PO000181,M002,EMP000062,439,432,7,7923,21,87.82,86.95
PR000182,PO000182,M006,EMP000010,319,316,3,4794,9,94.57,90.39
PR000183,PO000183,M008,EMP000007,400,393,7,6411,11,92.13,91.64
PR000184,PO000184,M012,EMP000341,452,447,5,5443,19,87.24,84.25
PR000185,PO000185,M014,EMP000405,309,305,4,4340,14,92.14,90.5
PR000186,PO000186,M016,EMP000193,252,247,5,5063,23,83.05,82.36
PR000187,PO000187,M003,EMP000338,408,402,6,7353,9,94.83,91.04
PR000188,PO000188,M006,EMP000284,326,322,4,4904,14,89.7,86.62
PR000189,PO000189,M009,EMP000258,374,366,8,6011,27,85.5,84.0
PR000190,PO000190,M012,EMP000259,400,396,4,4812,12,93.55,88.87
PR000191,PO000191,M014,EMP000271,298,294,4,4176,4,97.56,94.65
PR000192,PO000192,M018,EMP000136,278,274,4,5577,17,90.68,86.42
PR000193,PO000193,M002,EMP000012,419,413,6,7547,5,97.32,97.32
PR000194,PO000194,M005,EMP000105,331,328,3,4966,1,98.64,97.23
PR000195,PO000195,M008,EMP000205,357,350,7,5729,17,89.34,86.21
PR000196,PO000196,M010,EMP000238,436,433,3,5249,17,88.9,87.84
PR000197,PO000197,M015,EMP000125,314,310,4,4421,25,84.36,80.14
PR000198,PO000198,M016,EMP000164,283,279,4,5675,15,89.09,84.73
PR000199,PO000199,M001,EMP000062,385,378,7,6960,30,82.2,81.48
PR000200,PO000200,M004,EMP000232,309,306,3,4648,13,93.18,92.5
PR000201,PO000201,M008,EMP000286,414,406,8,6632,8,95.7,91.23
PR000202,PO000202,M011,EMP000169,453,449,4,5439,3,97.82,95.55
PR000203,PO000203,M015,EMP000024,296,292,4,4150,6,95.94,94.81
PR000204,PO000204,M018,EMP000320,264,258,6,5308,28,82.13,78.48
PR000205,PO000205,M002,EMP000082,391,387,4,7064,26,86.58,83.7
PR000206,PO000206,M006,EMP000414,304,301,3,4587,27,82.64,80.8
PR000207,PO000207,M008,EMP000339,364,358,6,5826,2,98.35,94.7
PR000208,PO000208,M012,EMP000341,466,462,4,5598,6,96.61,95.21
PR000209,PO000209,M013,EMP000228,303,299,4,4257,15,90.9,89.67
PR000210,PO000210,M017,EMP000366,248,243,5,4971,11,93.28,89.86
PR000211,PO000211,M003,EMP000360,427,421,6,7699,13,91.85,87.33
PR000212,PO000212,M006,EMP000330,344,340,4,5187,27,82.18,77.65
PR000213,PO000213,M009,EMP000312,400,394,6,6418,18,87.64,82.75
PR000214,PO000214,M012,EMP000364,457,453,4,5510,26,84.85,81.86
PR000215,PO000215,M015,EMP000413,332,327,5,4654,6,95.35,92.2
PR000216,PO000216,M017,EMP000266,288,282,6,5774,14,91.74,90.28
PR000217,PO000217,M003,EMP000311,395,391,4,7137,27,82.46,81.83
PR000218,PO000218,M005,EMP000326,334,331,3,5016,6,95.32,92.24
PR000219,PO000219,M008,EMP000093,345,338,7,5544,24,86.37,83.35
PR000220,PO000220,M011,EMP000140,430,427,3,5169,9,94.56,92.71
PR000221,PO000221,M014,EMP000287,312,308,4,4374,6,95.3,94.4
PR000222,PO000222,M016,EMP000197,248,243,5,4994,34,82.56,77.72
PR000223,PO000223,M001,EMP000368,409,403,6,7369,7,95.97,92.21
PR000224,PO000224,M004,EMP000354,331,328,3,4984,19,88.51,84.88
PR000225,PO000225,M008,EMP000329,388,382,6,6223,15,91.82,91.55
PR000226,PO000226,M012,EMP000097,459,455,4,5513,5,95.93,93.61
PR000227,PO000227,M013,EMP000048,298,295,3,4191,19,90.1,85.49
PR000228,PO000228,M017,EMP000320,297,291,6,5949,9,93.62,92.31
PR000229,PO000229,M003,EMP000012,362,357,5,6531,15,89.39,85.4
PR000230,PO000230,M005,EMP000105,365,362,3,5495,20,87.37,82.59
PR000231,PO000231,M008,EMP000160,374,367,7,5997,13,91.03,86.81
PR000232,PO000232,M011,EMP000135,468,463,5,5625,9,93.09,91.74
PR000233,PO000233,M015,EMP000086,300,296,4,4222,22,86.34,84.03
PR000234,PO000234,M016,EMP000149,257,252,5,5164,24,86.11,82.26
PR000235,PO000235,M002,EMP000030,363,359,4,6546,12,93.52,91.95
PR000236,PO000236,M005,EMP000119,355,351,4,5347,22,82.14,80.08
PR000237,PO000237,M007,EMP000386,395,389,6,6329,9,93.65,90.02
PR000238,PO000238,M012,EMP000021,468,463,5,5645,29,82.58,82.3
PR000239,PO000239,M014,EMP000017,275,272,3,3853,3,97.2,94.2
PR000240,PO000240,M018,EMP000083,267,262,5,5342,2,98.28,95.26
PR000241,PO000241,M002,EMP000333,383,378,5,6902,8,94.99,90.97
PR000242,PO000242,M005,EMP000106,352,348,4,5301,21,83.88,82.41
PR000243,PO000243,M007,EMP000178,394,386,8,6330,26,83.29,78.31
PR000244,PO000244,M011,EMP000185,497,493,4,5974,10,93.77,89.92
PR000245,PO000245,M014,EMP000296,325,321,4,4556,6,95.27,94.96
PR000246,PO000246,M016,EMP000089,270,266,4,5401,1,98.93,94.87
PR000247,PO000247,M003,EMP000253,429,423,6,7755,33,83.18,82.18
PR000248,PO000248,M005,EMP000183,332,328,4,4989,9,92.97,90.27
PR000249,PO000249,M007,EMP000386,419,412,7,6713,9,92.44,90.23
PR000250,PO000250,M010,EMP000268,431,426,5,5193,21,82.59,78.95
PR000251,PO000251,M013,EMP000413,291,288,3,4102,28,82.32,79.06
PR000252,PO000252,M016,EMP000236,270,265,5,5426,26,82.64,81.88
PR000253,PO000253,M001,EMP000009,432,425,7,7789,13,88.65,85.11
PR000254,PO000254,M005,EMP000379,336,332,4,5055,15,90.13,86.49
PR000255,PO000255,M007,EMP000391,413,405,8,6631,23,83.19,81.27
PR000256,PO000256,M012,EMP000235,491,485,6,5898,6,95.26,92.58
PR000257,PO000257,M013,EMP000134,311,306,5,4371,17,87.67,87.39
PR000258,PO000258,M018,EMP000112,241,237,4,4830,10,93.0,88.73
PR000259,PO000259,M003,EMP000360,446,440,6,8034,6,96.3,94.85
PR000260,PO000260,M005,EMP000251,329,326,3,4951,16,91.43,88.13
PR000261,PO000261,M009,EMP000408,416,409,7,6670,14,88.63,85.19
PR000262,PO000262,M010,EMP000173,489,486,3,5872,4,97.05,96.1
PR000263,PO000263,M015,EMP000367,287,284,3,4053,35,82.43,81.24
PR000264,PO000264,M016,EMP000227,262,256,6,5247,7,95.48,92.98
PR000265,PO000265,M002,EMP000371,444,438,6,8000,8,95.8,95.72
PR000266,PO000266,M004,EMP000223,368,364,4,5541,21,87.74,85.71
PR000267,PO000267,M008,EMP000267,337,330,7,5403,11,93.12,88.42
PR000268,PO000268,M011,EMP000257,413,410,3,4971,15,91.12,89.96
PR000269,PO000269,M014,EMP000107,330,325,5,4628,8,94.5,94.4
PR000270,PO000270,M016,EMP000172,267,263,4,5350,10,92.51,89.27
PR000271,PO000271,M003,EMP000167,426,421,5,7681,13,92.76,88.66
PR000272,PO000272,M005,EMP000130,372,367,5,5594,14,92.39,92.07
PR000273,PO000273,M008,EMP000286,391,386,5,6282,26,83.94,80.86
PR000274,PO000274,M012,EMP000051,434,429,5,5229,21,85.44,81.26
PR000275,PO000275,M013,EMP000212,283,279,4,3976,14,88.83,85.41
PR000276,PO000276,M017,EMP000149,255,251,4,5124,24,87.47,86.4
PR000277,PO000277,M003,EMP000179,438,431,7,7902,18,84.95,83.58
PR000278,PO000278,M005,EMP000122,347,344,3,5227,22,84.86,84.03
PR000279,PO000279,M008,EMP000391,377,370,7,6042,10,91.89,87.93
PR000280,PO000280,M011,EMP000299,427,424,3,5139,15,88.39,83.99
PR000281,PO000281,M014,EMP000271,315,311,4,4444,34,82.12,78.59
PR000282,PO000282,M018,EMP000041,284,279,5,5703,23,86.82,82.86
PR000283,PO000283,M003,EMP000082,361,356,5,6518,20,84.16,82.81
PR000284,PO000284,M004,EMP000119,314,310,4,4728,18,86.07,82.61
PR000285,PO000285,M009,EMP000356,388,380,8,6217,9,94.19,93.75
PR000286,PO000286,M012,EMP000419,497,493,4,5983,19,87.12,84.33
PR000287,PO000287,M015,EMP000199,332,327,5,4650,2,98.77,95.68
PR000288,PO000288,M018,EMP000156,271,265,6,5421,1,98.78,96.46
PR000289,PO000289,M001,EMP000098,371,367,4,6695,17,85.54,84.98
PR000290,PO000290,M004,EMP000248,355,352,3,5332,7,96.34,93.85
PR000291,PO000291,M007,EMP000347,375,369,6,6002,2,97.69,95.87
PR000292,PO000292,M012,EMP000307,447,443,4,5387,23,86.27,81.82
PR000293,PO000293,M015,EMP000413,339,335,4,4766,20,83.78,81.09
PR000294,PO000294,M017,EMP000149,287,282,5,5768,28,82.49,82.14
PR000295,PO000295,M002,EMP000078,405,398,7,7307,17,89.56,87.46
PR000296,PO000296,M005,EMP000304,338,335,3,5073,3,97.27,96.72
PR000297,PO000297,M008,EMP000374,365,357,8,5861,21,86.03,85.03
PR000298,PO000298,M012,EMP000219,424,420,4,5115,27,83.25,82.98
PR000299,PO000299,M013,EMP000134,340,336,4,4784,24,85.67,84.78
PR000300,PO000300,M016,EMP000320,252,248,4,5053,13,89.78,87.99
PR000301,PO000301,M003,EMP000357,421,416,5,7593,15,87.71,84.87
PR000302,PO000302,M006,EMP000039,379,374,5,5710,25,83.89,81.8
PR000303,PO000303,M009,EMP000170,372,364,8,5972,20,85.74,84.96
PR000304,PO000304,M010,EMP000208,437,433,4,5247,3,98.2,95.31
PR000305,PO000305,M014,EMP000381,294,289,5,4137,21,85.9,83.29
PR000306,PO000306,M016,EMP000114,285,281,4,5722,22,85.68,83.37
PR000307,PO000307,M001,EMP000361,395,389,6,7130,20,89.28,88.04
PR000308,PO000308,M004,EMP000046,374,369,5,5637,27,85.78,81.05
PR000309,PO000309,M009,EMP000131,352,344,8,5636,4,97.27,97.05
PR000310,PO000310,M011,EMP000071,413,409,4,4964,8,94.47,92.34
PR000311,PO000311,M015,EMP000210,308,304,4,4319,7,95.77,95.28
PR000312,PO000312,M017,EMP000227,268,263,5,5389,29,83.41,79.94
PR000313,PO000313,M001,EMP000353,366,359,7,6609,21,85.71,84.51
PR000314,PO000314,M005,EMP000304,318,315,3,4800,30,82.27,81.46
PR000315,PO000315,M008,EMP000160,398,391,7,6381,13,91.7,86.82
PR000316,PO000316,M012,EMP000140,480,475,5,5787,27,84.36,83.44
PR000317,PO000317,M013,EMP000151,291,287,4,4086,12,92.66,92.65
PR000318,PO000318,M018,EMP000366,300,295,5,6020,20,88.54,85.89
PR000319,PO000319,M001,EMP000187,391,385,6,7047,9,94.8,91.74
PR000320,PO000320,M006,EMP000154,357,353,4,5380,25,85.52,82.42
PR000321,PO000321,M009,EMP000201,415,408,7,6643,3,97.85,93.3
PR000322,PO000322,M012,EMP000021,448,445,3,5401,25,82.88,80.55
PR000323,PO000323,M014,EMP000148,310,306,4,4360,20,88.23,84.71
PR000324,PO000324,M017,EMP000263,259,254,5,5186,6,95.15,93.48
PR000325,PO000325,M003,EMP000310,367,361,6,6618,12,93.03,89.27
PR000326,PO000326,M006,EMP000154,316,313,3,4750,10,93.95,90.15
PR000327,PO000327,M009,EMP000402,363,358,5,5812,4,97.26,95.15
PR000328,PO000328,M012,EMP000237,410,406,4,4938,18,88.34,85.83
PR000329,PO000329,M013,EMP000033,294,289,5,4132,16,89.99,85.86
PR000330,PO000330,M016,EMP000281,250,245,5,5015,15,89.68,86.31
PR000331,PO000331,M002,EMP000129,417,410,7,7508,2,98.63,97.69
PR000332,PO000332,M006,EMP000414,364,359,5,5484,24,83.48,82.59
PR000333,PO000333,M007,EMP000036,365,360,5,5862,22,83.31,82.75
PR000334,PO000334,M012,EMP000090,436,433,3,5253,21,84.56,79.8
PR000335,PO000335,M014,EMP000125,281,277,4,3953,19,89.08,84.42
PR000336,PO000336,M016,EMP000155,299,294,5,5999,19,89.14,89.03
PR000337,PO000337,M003,EMP000318,435,429,6,7862,32,82.37,78.2
PR000338,PO000338,M004,EMP000401,358,353,5,5390,20,87.71,84.43
PR000339,PO000339,M009,EMP000262,364,357,7,5840,16,90.26,87.61
PR000340,PO000340,M010,EMP000173,434,430,4,5224,16,89.79,85.3
PR000341,PO000341,M013,EMP000141,279,276,3,3912,6,95.42,93.56
PR000342,PO000342,M017,EMP000221,278,271,7,5564,4,96.37,94.95
PR000343,PO000343,M003,EMP000363,396,391,5,7137,9,92.52,89.84
PR000344,PO000344,M004,EMP000326,363,358,5,5471,26,84.98,80.46
PR000345,PO000345,M008,EMP000277,387,380,7,6211,19,84.74,79.77
PR000346,PO000346,M012,EMP000013,469,464,5,5643,15,89.5,88.47
PR000347,PO000347,M014,EMP000034,282,278,4,3961,13,93.31,92.57
PR000348,PO000348,M016,EMP000127,296,292,4,5922,2,98.58,97.97
PR000349,PO000349,M003,EMP000357,401,394,7,7221,3,97.83,93.09
PR000350,PO000350,M005,EMP000223,307,304,3,4635,30,84.65,81.92
PR000351,PO000351,M007,EMP000205,409,400,9,6554,10,93.0,88.52
PR000352,PO000352,M010,EMP000409,497,492,5,5974,10,94.82,91.49
PR000353,PO000353,M014,EMP000075,277,274,3,3888,10,94.39,92.7
PR000354,PO000354,M017,EMP000085,273,269,4,5472,12,90.14,86.75
PR000355,PO000355,M002,EMP000067,395,390,5,7139,29,82.42,81.32
PR000356,PO000356,M006,EMP000301,359,355,4,5405,20,87.55,86.57
PR000357,PO000357,M008,EMP000230,347,342,5,5560,8,95.28,94.3
PR000358,PO000358,M011,EMP000177,452,447,5,5430,6,96.44,91.65
PR000359,PO000359,M014,EMP000319,285,281,4,4007,17,88.71,85.69
PR000360,PO000360,M017,EMP000112,266,260,6,5349,29,82.95,80.96
PR000361,PO000361,M002,EMP000180,396,391,5,7144,16,89.27,89.21
PR000362,PO000362,M005,EMP000045,374,370,4,5629,19,87.24,84.43
PR000363,PO000363,M008,EMP000044,347,341,6,5557,5,97.09,95.01
PR000364,PO000364,M011,EMP000185,441,436,5,5319,27,84.78,80.29
