alert_id,day,alert_type,priority
ALT00187,97.0,High Downtime,High
ALT00188,97.0,High Reject Rate,Medium
ALT00189,98.0,High Reject Rate,Medium
ALT00190,99.0,High Downtime,High
ALT00191,99.0,High Reject Rate,Medium
ALT00192,100.0,High Downtime,High
ALT00193,100.0,High Reject Rate,Medium
ALT00194,101.0,High Downtime,High
ALT00195,101.0,High Reject Rate,Medium
ALT00196,102.0,High Downtime,High
ALT00197,102.0,High Reject Rate,Medium
ALT00198,103.0,High Reject Rate,Medium
ALT00199,104.0,High Downtime,High
ALT00200,104.0,High Reject Rate,Medium
ALT00201,105.0,High Downtime,High
ALT00202,105.0,High Reject Rate,Medium
ALT00203,106.0,High Downtime,High
ALT00204,106.0,High Reject Rate,Medium
ALT00205,107.0,High Downtime,High
ALT00206,107.0,High Reject Rate,Medium
ALT00207,108.0,High Downtime,High
ALT00208,108.0,High Reject Rate,Medium
ALT00209,109.0,High Downtime,High
ALT00210,109.0,High Reject Rate,Medium
ALT00211,110.0,High Downtime,High
ALT00212,110.0,High Reject Rate,Medium
ALT00213,111.0,High Downtime,High
ALT00214,111.0,High Reject Rate,Medium
ALT00215,112.0,High Downtime,High
ALT00216,112.0,High Reject Rate,Medium
ALT00217,113.0,High Downtime,High
ALT00218,113.0,High Reject Rate,Medium
ALT00219,114.0,High Reject Rate,Medium
ALT00220,115.0,High Downtime,High
ALT00221,115.0,High Reject Rate,Medium
ALT00222,116.0,High Downtime,High
ALT00223,116.0,High Reject Rate,Medium
ALT00224,117.0,High Downtime,High
ALT00225,117.0,High Reject Rate,Medium
ALT00226,118.0,High Downtime,High
ALT00227,118.0,High Reject Rate,Medium
ALT00228,119.0,High Downtime,High
ALT00229,119.0,High Reject Rate,Medium
ALT00230,120.0,High Downtime,High
ALT00231,120.0,High Reject Rate,Medium
ALT00232,121.0,High Downtime,High
ALT00233,121.0,High Reject Rate,Medium
ALT00234,122.0,High Downtime,High
ALT00235,122.0,High Reject Rate,Medium
ALT00236,123.0,High Downtime,High
ALT00237,123.0,High Reject Rate,Medium
ALT00238,124.0,High Downtime,High
ALT00239,124.0,High Reject Rate,Medium
ALT00240,125.0,High Reject Rate,Medium
ALT00241,126.0,High Downtime,High
ALT00242,126.0,High Reject Rate,Medium
ALT00243,127.0,High Downtime,High
ALT00244,127.0,High Reject Rate,Medium
ALT00245,128.0,High Downtime,High
ALT00246,128.0,High Reject Rate,Medium
ALT00247,129.0,High Reject Rate,Medium
ALT00248,130.0,High Downtime,High
ALT00249,130.0,High Reject Rate,Medium
ALT00250,131.0,High Downtime,High
ALT00251,131.0,High Reject Rate,Medium
ALT00252,132.0,High Downtime,High
ALT00253,132.0,High Reject Rate,Medium
ALT00254,133.0,High Downtime,High
ALT00255,133.0,High Reject Rate,Medium
ALT00256,134.0,High Reject Rate,Medium
ALT00257,135.0,High Downtime,High
ALT00258,135.0,High Reject Rate,Medium
ALT00259,136.0,High Downtime,High
ALT00260,136.0,High Reject Rate,Medium
ALT00261,137.0,High Downtime,High
ALT00262,137.0,High Reject Rate,Medium
ALT00263,138.0,High Downtime,High
ALT00264,138.0,High Reject Rate,Medium
ALT00265,139.0,High Downtime,High
ALT00266,139.0,High Reject Rate,Medium
ALT00267,140.0,High Downtime,High
ALT00268,140.0,High Reject Rate,Medium
ALT00269,141.0,High Downtime,High
ALT00270,141.0,High Reject Rate,Medium
ALT00271,142.0,High Downtime,High
ALT00272,142.0,High Reject Rate,Medium
ALT00273,143.0,High Downtime,High
ALT00274,143.0,High Reject Rate,Medium
ALT00275,144.0,High Downtime,High
ALT00276,144.0,High Reject Rate,Medium
ALT00277,145.0,High Downtime,High
ALT00278,145.0,High Reject Rate,Medium
ALT00279,146.0,High Downtime,High
ALT00280,146.0,High Reject Rate,Medium
ALT00281,147.0,High Downtime,High
ALT00282,147.0,High Reject Rate,Medium
ALT00283,148.0,High Downtime,High
ALT00284,148.0,High Reject Rate,Medium
ALT00285,149.0,High Downtime,High
ALT00286,149.0,High Reject Rate,Medium
ALT00287,150.0,High Reject Rate,Medium
ALT00288,151.0,High Downtime,High
ALT00289,151.0,High Reject Rate,Medium
ALT00290,152.0,High Downtime,High
ALT00291,152.0,High Reject Rate,Medium
ALT00292,153.0,High Downtime,High
ALT00293,153.0,High Reject Rate,Medium
ALT00294,154.0,High Downtime,High
ALT00295,154.0,High Reject Rate,Medium
ALT00296,155.0,High Downtime,High
ALT00297,155.0,High Reject Rate,Medium
ALT00298,156.0,High Reject Rate,Medium
ALT00299,157.0,High Downtime,High
ALT00300,157.0,High Reject Rate,Medium
ALT00301,158.0,High Downtime,High
ALT00302,158.0,High Reject Rate,Medium
ALT00303,159.0,High Reject Rate,Medium
ALT00304,160.0,High Downtime,High
ALT00305,160.0,High Reject Rate,Medium
ALT00306,161.0,High Downtime,High
ALT00307,161.0,High Reject Rate,Medium
ALT00308,162.0,High Downtime,High
ALT00309,162.0,High Reject Rate,Medium
ALT00310,163.0,High Downtime,High
ALT00311,163.0,High Reject Rate,Medium
ALT00312,164.0,High Downtime,High
ALT00313,164.0,High Reject Rate,Medium
ALT00314,165.0,High Downtime,High
ALT00315,165.0,High Reject Rate,Medium
ALT00316,166.0,High Reject Rate,Medium
ALT00317,167.0,High Reject Rate,Medium
ALT00318,168.0,High Downtime,High
ALT00319,168.0,High Reject Rate,Medium
ALT00320,169.0,High Downtime,High
ALT00321,169.0,High Reject Rate,Medium
ALT00322,170.0,High Downtime,High
ALT00323,170.0,High Reject Rate,Medium
ALT00324,171.0,High Downtime,High
ALT00325,171.0,High Reject Rate,Medium
ALT00326,172.0,High Downtime,High
ALT00327,172.0,High Reject Rate,Medium
ALT00328,173.0,High Downtime,High
ALT00329,173.0,High Reject Rate,Medium
ALT00330,174.0,High Downtime,High
ALT00331,174.0,High Reject Rate,Medium
ALT00332,175.0,High Downtime,High
ALT00333,175.0,High Reject Rate,Medium
ALT00334,176.0,High Downtime,High
ALT00335,176.0,High Reject Rate,Medium
ALT00336,177.0,High Downtime,High
ALT00337,177.0,High Reject Rate,Medium
ALT00338,178.0,High Downtime,High
ALT00339,178.0,High Reject Rate,Medium
ALT00340,179.0,High Downtime,High
ALT00341,179.0,High Reject Rate,Medium
ALT00342,180.0,High Downtime,High
ALT00343,180.0,High Reject Rate,Medium
ALT00344,181.0,High Downtime,High
ALT00345,181.0,High Reject Rate,Medium
ALT00346,182.0,High Downtime,High
ALT00347,182.0,High Reject Rate,Medium
ALT00348,183.0,High Downtime,High
ALT00349,183.0,High Reject Rate,Medium
ALT00350,184.0,High Downtime,High
ALT00351,184.0,High Reject Rate,Medium
ALT00352,185.0,High Downtime,High
ALT00353,185.0,High Reject Rate,Medium
ALT00354,186.0,High Downtime,High
ALT00355,186.0,High Reject Rate,Medium
ALT00356,187.0,High Downtime,High
ALT00357,187.0,High Reject Rate,Medium
ALT00358,188.0,High Downtime,High
ALT00359,188.0,High Reject Rate,Medium
ALT00360,189.0,High Downtime,High
ALT00361,189.0,High Reject Rate,Medium
ALT00362,190.0,High Downtime,High
ALT00363,190.0,High Reject Rate,Medium
ALT00364,191.0,High Downtime,High
ALT00365,191.0,High Reject Rate,Medium
ALT00366,192.0,High Downtime,High
ALT00367,192.0,High Reject Rate,Medium
ALT00368,193.0,High Downtime,High
ALT00369,193.0,High Reject Rate,Medium
ALT00370,194.0,High Downtime,High
ALT00371,194.0,High Reject Rate,Medium
ALT00372,195.0,High Reject Rate,Medium
ALT00373,196.0,High Downtime,High
ALT00374,196.0,High Reject Rate,Medium
ALT00375,197.0,High Downtime,High
ALT00376,197.0,High Reject Rate,Medium
ALT00377,198.0,High Downtime,High
ALT00378,198.0,High Reject Rate,Medium
ALT00379,199.0,High Downtime,High
ALT00380,199.0,High Reject Rate,Medium
ALT00381,200.0,High Downtime,High
ALT00382,200.0,High Reject Rate,Medium
ALT00383,201.0,High Downtime,High
ALT00384,201.0,High Reject Rate,Medium
ALT00385,202.0,High Downtime,High
ALT00386,202.0,High Reject Rate,Medium
ALT00387,203.0,High Downtime,High
ALT00388,203.0,High Reject Rate,Medium
ALT00389,204.0,High Downtime,High
ALT00390,204.0,High Reject Rate,Medium
ALT00391,205.0,High Downtime,High
ALT00392,205.0,High Reject Rate,Medium
ALT00393,206.0,High Downtime,High
ALT00394,206.0,High Reject Rate,Medium
ALT00395,207.0,High Downtime,High
ALT00396,207.0,High Reject Rate,Medium
ALT00397,208.0,High Downtime,High
ALT00398,208.0,High Reject Rate,Medium
ALT00399,209.0,High Downtime,High
ALT00400,209.0,High Reject Rate,Medium
ALT00401,210.0,High Downtime,High
ALT00402,210.0,High Reject Rate,Medium
ALT00403,211.0,High Downtime,High
ALT00404,211.0,High Reject Rate,Medium
ALT00405,212.0,High Downtime,High
ALT00406,212.0,High Reject Rate,Medium
ALT00407,213.0,High Downtime,High
ALT00408,213.0,High Reject Rate,Medium
ALT00409,214.0,High Downtime,High
ALT00410,214.0,High Reject Rate,Medium
ALT00411,215.0,High Downtime,High
ALT00412,215.0,High Reject Rate,Medium
ALT00413,216.0,High Downtime,High
ALT00414,216.0,High Reject Rate,Medium
ALT00415,217.0,High Downtime,High
ALT00416,217.0,High Reject Rate,Medium
ALT00417,218.0,High Downtime,High
ALT00418,218.0,High Reject Rate,Medium
ALT00419,219.0,High Downtime,High
ALT00420,219.0,High Reject Rate,Medium
ALT00421,220.0,High Downtime,High
ALT00422,220.0,High Reject Rate,Medium
ALT00423,221.0,High Downtime,High
ALT00424,221.0,High Reject Rate,Medium
ALT00425,222.0,High Downtime,High
ALT00426,222.0,High Reject Rate,Medium
ALT00427,223.0,High Downtime,High
ALT00428,223.0,High Reject Rate,Medium
ALT00429,224.0,High Downtime,High
ALT00430,224.0,High Reject Rate,Medium
ALT00431,225.0,High Downtime,High
ALT00432,225.0,High Reject Rate,Medium
ALT00433,226.0,High Downtime,High
ALT00434,226.0,High Reject Rate,Medium
ALT00435,227.0,High Downtime,High
ALT00436,227.0,High Reject Rate,Medium
ALT00437,228.0,High Downtime,High
ALT00438,228.0,High Reject Rate,Medium
ALT00439,229.0,High Downtime,High
ALT00440,229.0,High Reject Rate,Medium
ALT00441,230.0,High Downtime,High
ALT00442,230.0,High Reject Rate,Medium
ALT00443,231.0,High Downtime,High
ALT00444,231.0,High Reject Rate,Medium
ALT00445,232.0,High Downtime,High
ALT00446,232.0,High Reject Rate,Medium
ALT00447,233.0,High Downtime,High
ALT00448,233.0,High Reject Rate,Medium
ALT00449,234.0,High Downtime,High
ALT00450,234.0,High Reject Rate,Medium
ALT00451,235.0,High Downtime,High
ALT00452,235.0,High Reject Rate,Medium
ALT00453,236.0,High Downtime,High
ALT00454,236.0,High Reject Rate,Medium
ALT00455,237.0,High Downtime,High
ALT00456,237.0,High Reject Rate,Medium
ALT00457,238.0,High Downtime,High
ALT00458,238.0,High Reject Rate,Medium
ALT00459,239.0,High Downtime,High
ALT00460,239.0,High Reject Rate,Medium
ALT00461,240.0,High Downtime,High
ALT00462,240.0,High Reject Rate,Medium
ALT00463,241.0,High Downtime,High
ALT00464,241.0,High Reject Rate,Medium
ALT00465,242.0,High Downtime,High
ALT00466,242.0,High Reject Rate,Medium
ALT00467,243.0,High Downtime,High
ALT00468,243.0,High Reject Rate,Medium
ALT00469,244.0,High Downtime,High
ALT00470,244.0,High Reject Rate,Medium
ALT00471,245.0,High Downtime,High
ALT00472,245.0,High Reject Rate,Medium
ALT00473,246.0,High Downtime,High
ALT00474,246.0,High Reject Rate,Medium
ALT00475,247.0,High Reject Rate,Medium
ALT00476,248.0,High Downtime,High
ALT00477,248.0,High Reject Rate,Medium
ALT00478,249.0,High Downtime,High
ALT00479,249.0,High Reject Rate,Medium
ALT00480,250.0,High Downtime,High
ALT00481,250.0,High Reject Rate,Medium
ALT00482,251.0,High Downtime,High
ALT00483,251.0,High Reject Rate,Medium
ALT00484,252.0,High Downtime,High
ALT00485,252.0,High Reject Rate,Medium
ALT00486,253.0,High Downtime,High
ALT00487,253.0,High Reject Rate,Medium
ALT00488,254.0,High Downtime,High
ALT00489,254.0,High Reject Rate,Medium
ALT00490,255.0,High Downtime,High
ALT00491,255.0,High Reject Rate,Medium
ALT00492,256.0,High Downtime,High
ALT00493,256.0,High Reject Rate,Medium
ALT00494,257.0,High Downtime,High
ALT00495,257.0,High Reject Rate,Medium
ALT00496,258.0,High Reject Rate,Medium
ALT00497,259.0,High Downtime,High
ALT00498,259.0,High Reject Rate,Medium
ALT00499,260.0,High Downtime,High
ALT00500,260.0,High Reject Rate,Medium
ALT00501,261.0,High Downtime,High
ALT00502,261.0,High Reject Rate,Medium
ALT00503,262.0,High Downtime,High
ALT00504,262.0,High Reject Rate,Medium
ALT00505,263.0,High Downtime,High
ALT00506,263.0,High Reject Rate,Medium
ALT00507,264.0,High Downtime,High
ALT00508,264.0,High Reject Rate,Medium
ALT00509,265.0,High Downtime,High
ALT00510,265.0,High Reject Rate,Medium
ALT00511,266.0,High Downtime,High
ALT00512,266.0,High Reject Rate,Medium
ALT00513,267.0,High Downtime,High
ALT00514,267.0,High Reject Rate,Medium
ALT00515,268.0,High Downtime,High
ALT00516,268.0,High Reject Rate,Medium
ALT00517,269.0,High Downtime,High
ALT00518,269.0,High Reject Rate,Medium
ALT00519,270.0,High Downtime,High
ALT00520,270.0,High Reject Rate,Medium
ALT00521,271.0,High Downtime,High
ALT00522,271.0,High Reject Rate,Medium
ALT00523,272.0,High Downtime,High
ALT00524,272.0,High Reject Rate,Medium
ALT00525,273.0,High Downtime,High
ALT00526,273.0,High Reject Rate,Medium
ALT00527,274.0,High Downtime,High
ALT00528,274.0,High Reject Rate,Medium
ALT00529,275.0,High Downtime,High
ALT00530,275.0,High Reject Rate,Medium
ALT00531,276.0,High Downtime,High
ALT00532,276.0,High Reject Rate,Medium
ALT00533,277.0,High Downtime,High
ALT00534,277.0,High Reject Rate,Medium
ALT00535,278.0,High Downtime,High
ALT00536,278.0,High Reject Rate,Medium
ALT00537,279.0,High Downtime,High
ALT00538,279.0,High Reject Rate,Medium
ALT00539,280.0,High Downtime,High
ALT00540,280.0,High Reject Rate,Medium
ALT00541,281.0,High Reject Rate,Medium
ALT00542,282.0,High Downtime,High
ALT00543,282.0,High Reject Rate,Medium
ALT00544,283.0,High Downtime,High
ALT00545,283.0,High Reject Rate,Medium
ALT00546,284.0,High Downtime,High
ALT00547,284.0,High Reject Rate,Medium
ALT00548,285.0,High Downtime,High
ALT00549,285.0,High Reject Rate,Medium
ALT00550,286.0,High Downtime,High
ALT00551,286.0,High Reject Rate,Medium
ALT00552,287.0,High Downtime,High
ALT00553,287.0,High Reject Rate,Medium
ALT00554,288.0,High Downtime,High
ALT00555,288.0,High Reject Rate,Medium
ALT00556,289.0,High Downtime,High
ALT00557,289.0,High Reject Rate,Medium
ALT00558,290.0,High Downtime,High
ALT00559,290.0,High Reject Rate,Medium
ALT00560,291.0,High Downtime,High
ALT00561,291.0,High Reject Rate,Medium
ALT00562,292.0,High Downtime,High
ALT00563,292.0,High Reject Rate,Medium
ALT00564,293.0,High Downtime,High
ALT00565,293.0,High Reject Rate,Medium
ALT00566,294.0,High Downtime,High
ALT00567,294.0,High Reject Rate,Medium
ALT00568,295.0,High Downtime,High
ALT00569,295.0,High Reject Rate,Medium
ALT00570,296.0,High Downtime,High
ALT00571,296.0,High Reject Rate,Medium
ALT00572,297.0,High Downtime,High
ALT00573,297.0,High Reject Rate,Medium
ALT00574,298.0,High Downtime,High
ALT00575,298.0,High Reject Rate,Medium
ALT00576,299.0,High Downtime,High
ALT00577,299.0,High Reject Rate,Medium
ALT00578,300.0,High Downtime,High
ALT00579,300.0,High Reject Rate,Medium
ALT00580,301.0,High Downtime,High
ALT00581,301.0,High Reject Rate,Medium
ALT00582,302.0,High Downtime,High
ALT00583,302.0,High Reject Rate,Medium
ALT00584,303.0,High Downtime,High
ALT00585,303.0,High Reject Rate,Medium
ALT00586,304.0,High Downtime,High
ALT00587,304.0,High Reject Rate,Medium
ALT00588,305.0,High Downtime,High
ALT00589,305.0,High Reject Rate,Medium
ALT00590,306.0,High Downtime,High
ALT00591,306.0,High Reject Rate,Medium
ALT00592,307.0,High Downtime,High
ALT00593,307.0,High Reject Rate,Medium
ALT00594,308.0,High Downtime,High
ALT00595,308.0,High Reject Rate,Medium
ALT00596,309.0,High Downtime,High
ALT00597,309.0,High Reject Rate,Medium
ALT00598,310.0,High Reject Rate,Medium
ALT00599,311.0,High Downtime,High
ALT00600,311.0,High Reject Rate,Medium
ALT00601,312.0,High Downtime,High
ALT00602,312.0,High Reject Rate,Medium
ALT00603,313.0,High Downtime,High
ALT00604,313.0,High Reject Rate,Medium
ALT00605,314.0,High Downtime,High
ALT00606,314.0,High Reject Rate,Medium
ALT00607,315.0,High Reject Rate,Medium
ALT00608,316.0,High Downtime,High
ALT00609,316.0,High Reject Rate,Medium
ALT00610,317.0,High Downtime,High
ALT00611,317.0,High Reject Rate,Medium
ALT00612,318.0,High Downtime,High
ALT00613,318.0,High Reject Rate,Medium
ALT00614,319.0,High Downtime,High
ALT00615,319.0,High Reject Rate,Medium
ALT00616,320.0,High Downtime,High
ALT00617,320.0,High Reject Rate,Medium
ALT00618,321.0,High Downtime,High
ALT00619,321.0,High Reject Rate,Medium
ALT00620,322.0,High Downtime,High
ALT00621,322.0,High Reject Rate,Medium
ALT00622,323.0,High Downtime,High
ALT00623,323.0,High Reject Rate,Medium
ALT00624,324.0,High Downtime,High
ALT00625,324.0,High Reject Rate,Medium
ALT00626,325.0,High Downtime,High
ALT00627,325.0,High Reject Rate,Medium
ALT00628,326.0,High Downtime,High
ALT00629,326.0,High Reject Rate,Medium
ALT00630,327.0,High Downtime,High
ALT00631,327.0,High Reject Rate,Medium
ALT00632,328.0,High Downtime,High
ALT00633,328.0,High Reject Rate,Medium
ALT00634,329.0,High Reject Rate,Medium
ALT00635,330.0,High Downtime,High
ALT00636,330.0,High Reject Rate,Medium
ALT00637,331.0,High Downtime,High
ALT00638,331.0,High Reject Rate,Medium
ALT00639,332.0,High Reject Rate,Medium
ALT00640,333.0,High Downtime,High
ALT00641,333.0,High Reject Rate,Medium
ALT00642,334.0,High Downtime,High
ALT00643,334.0,High Reject Rate,Medium
ALT00644,335.0,High Downtime,High
ALT00645,335.0,High Reject Rate,Medium
ALT00646,336.0,High Downtime,High
ALT00647,336.0,High Reject Rate,Medium
ALT00648,337.0,High Downtime,High
ALT00649,337.0,High Reject Rate,Medium
ALT00650,338.0,High Downtime,High
ALT00651,338.0,High Reject Rate,Medium
ALT00652,339.0,High Reject Rate,Medium
ALT00653,340.0,High Downtime,High
ALT00654,340.0,High Reject Rate,Medium
ALT00655,341.0,High Downtime,High
ALT00656,341.0,High Reject Rate,Medium
ALT00657,342.0,High Downtime,High
ALT00658,342.0,High Reject Rate,Medium
ALT00659,343.0,High Downtime,High
ALT00660,343.0,High Reject Rate,Medium
ALT00661,344.0,High Downtime,High
ALT00662,344.0,High Reject Rate,Medium
ALT00663,345.0,High Downtime,High
ALT00664,345.0,High Reject Rate,Medium
ALT00665,346.0,High Downtime,High
ALT00666,346.0,High Reject Rate,Medium
ALT00667,347.0,High Downtime,High
ALT00668,347.0,High Reject Rate,Medium
ALT00669,348.0,High Downtime,High
ALT00670,348.0,High Reject Rate,Medium
ALT00671,349.0,High Downtime,High
ALT00672,349.0,High Reject Rate,Medium
ALT00673,350.0,High Downtime,High
ALT00674,350.0,High Reject Rate,Medium
ALT00675,351.0,High Downtime,High
ALT00676,351.0,High Reject Rate,Medium
ALT00677,352.0,High Downtime,High
ALT00678,352.0,High Reject Rate,Medium
ALT00679,353.0,High Downtime,High
ALT00680,353.0,High Reject Rate,Medium
ALT00681,354.0,High Downtime,High
ALT00682,354.0,High Reject Rate,Medium
ALT00683,355.0,High Downtime,High
ALT00684,355.0,High Reject Rate,Medium
ALT00685,356.0,High Downtime,High
ALT00686,356.0,High Reject Rate,Medium
ALT00687,357.0,High Downtime,High
ALT00688,357.0,High Reject Rate,Medium
ALT00689,358.0,High Downtime,High
ALT00690,358.0,High Reject Rate,Medium
ALT00691,359.0,High Downtime,High
ALT00692,359.0,High Reject Rate,Medium
ALT00693,360.0,High Downtime,High
ALT00694,360.0,High Reject Rate,Medium
ALT00695,361.0,High Downtime,High
